id,null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs
win ~ x3fg,49501.273528583035,35710,-24516.174531967845,49036.34906393569,49053.315492022804,49032.34906393569,35709,35711
win ~ x3fga,49501.273528583035,35710,-24658.385860599257,49320.771721198515,49337.73814928563,49316.771721198515,35709,35711
win ~ apg,49501.273528583035,35710,-24235.600228940275,48475.20045788055,48492.166885967665,48471.20045788055,35709,35711
win ~ ast,49501.273528583035,35710,-24050.663046608057,48105.326093216114,48122.29252130323,48101.326093216114,35709,35711
win ~ bkpg,49501.273528583035,35710,-24525.59270417188,49055.18540834376,49072.15183643087,49051.18540834376,35709,35711
win ~ blks,49501.273528583035,35710,-24423.121121608357,48850.242243216715,48867.20867130383,48846.242243216715,35709,35711
win ~ x3fg + x3fga,49501.273528583035,35710,-24370.28901034137,48746.57802068274,48772.02766281341,48740.57802068274,35708,35711
win ~ x3fg + apg,49501.273528583035,35710,-24197.124053028656,48400.24810605731,48425.69774818798,48394.24810605731,35708,35711
win ~ x3fg + ast,49501.273528583035,35710,-24046.84767539895,48099.6953507979,48125.144992928566,48093.6953507979,35708,35711
win ~ x3fg + bkpg,49501.273528583035,35710,-24279.519395329567,48565.038790659135,48590.4884327898,48559.038790659135,35708,35711
win ~ x3fg + blks,49501.273528583035,35710,-24219.545545888315,48445.09109177663,48470.5407339073,48439.09109177663,35708,35711
win ~ x3fga + apg,49501.273528583035,35710,-24230.46386958264,48466.92773916528,48492.37738129595,48460.92773916528,35708,35711
win ~ x3fga + ast,49501.273528583035,35710,-24047.548498511624,48101.09699702325,48126.546639153916,48095.09699702325,35708,35711
win ~ x3fga + bkpg,49501.273528583035,35710,-24431.73921155496,48869.47842310992,48894.92806524059,48863.47842310992,35708,35711
win ~ x3fga + blks,49501.273528583035,35710,-24353.79062784725,48713.5812556945,48739.03089782517,48707.5812556945,35708,35711
win ~ apg + ast,49501.273528583035,35710,-24021.05042254152,48048.10084508304,48073.55048721371,48042.10084508304,35708,35711
win ~ apg + bkpg,49501.273528583035,35710,-24098.270322178134,48202.54064435627,48227.99028648694,48196.54064435627,35708,35711
win ~ apg + blks,49501.273528583035,35710,-24041.04280831929,48088.08561663858,48113.53525876925,48082.08561663858,35708,35711
win ~ ast + bkpg,49501.273528583035,35710,-23940.9326609413,47887.8653218826,47913.31496401327,47881.8653218826,35708,35711
win ~ ast + blks,49501.273528583035,35710,-23929.1532231991,47864.3064463982,47889.75608852887,47858.3064463982,35708,35711
win ~ bkpg + blks,49501.273528583035,35710,-24243.138569851744,48492.27713970349,48517.72678183416,48486.27713970349,35708,35711
win ~ x3fg + x3fga + apg,49501.273528583035,35710,-24120.350979592396,48248.70195918479,48282.63481535902,48240.70195918479,35707,35711
win ~ x3fg + x3fga + ast,49501.273528583035,35710,-23972.389714490517,47952.77942898103,47986.71228515526,47944.77942898103,35707,35711
win ~ x3fg + x3fga + bkpg,49501.273528583035,35710,-24117.56019456257,48243.12038912514,48277.05324529937,48235.12038912514,35707,35711
win ~ x3fg + x3fga + blks,49501.273528583035,35710,-24055.663602572287,48119.327205144575,48153.260061318804,48111.327205144575,35707,35711
win ~ x3fg + apg + ast,49501.273528583035,35710,-24019.97276945573,48047.94553891146,48081.87839508569,48039.94553891146,35707,35711
win ~ x3fg + apg + bkpg,49501.273528583035,35710,-24043.317965728853,48094.635931457706,48128.568787631935,48086.635931457706,35707,35711
win ~ x3fg + apg + blks,49501.273528583035,35710,-23997.59111908916,48003.18223817832,48037.11509435255,47995.18223817832,35707,35711
win ~ x3fg + ast + bkpg,49501.273528583035,35710,-23929.04166238089,47866.08332476178,47900.01618093601,47858.08332476178,35707,35711
win ~ x3fg + ast + blks,49501.273528583035,35710,-23919.08468988755,47846.1693797751,47880.10223594933,47838.1693797751,35707,35711
win ~ x3fg + bkpg + blks,49501.273528583035,35710,-24149.70363400653,48307.40726801306,48341.34012418729,48299.40726801306,35707,35711
win ~ x3fga + apg + ast,49501.273528583035,35710,-24012.594840220518,48033.189680441035,48067.122536615265,48025.189680441035,35707,35711
win ~ x3fga + apg + bkpg,49501.273528583035,35710,-24089.4285103142,48186.8570206284,48220.78987680263,48178.8570206284,35707,35711
win ~ x3fga + apg + blks,49501.273528583035,35710,-24036.369164501986,48080.73832900397,48114.6711851782,48072.73832900397,35707,35711
win ~ x3fga + ast + bkpg,49501.273528583035,35710,-23940.29658505893,47888.59317011786,47922.52602629209,47880.59317011786,35707,35711
win ~ x3fga + ast + blks,49501.273528583035,35710,-23927.90629232969,47863.81258465938,47897.74544083361,47855.81258465938,35707,35711
win ~ x3fga + bkpg + blks,49501.273528583035,35710,-24230.182766553982,48468.365533107964,48502.298389282194,48460.365533107964,35707,35711
win ~ apg + ast + bkpg,49501.273528583035,35710,-23915.422254407134,47838.84450881427,47872.7773649885,47830.84450881427,35707,35711
win ~ apg + ast + blks,49501.273528583035,35710,-23918.23227499437,47844.46454998874,47878.39740616297,47836.46454998874,35707,35711
win ~ apg + bkpg + blks,49501.273528583035,35710,-23945.998828365256,47899.99765673051,47933.93051290474,47891.99765673051,35707,35711
win ~ ast + bkpg + blks,49501.273528583035,35710,-23924.382386784408,47856.764773568815,47890.697629743045,47848.764773568815,35707,35711
win ~ x3fg + x3fga + apg + ast,49501.273528583035,35710,-23934.48770301993,47878.97540603986,47921.391476257646,47868.97540603986,35706,35711
win ~ x3fg + x3fga + apg + bkpg,49501.273528583035,35710,-23947.742078069507,47905.48415613901,47947.900226356796,47895.48415613901,35706,35711
win ~ x3fg + x3fga + apg + blks,49501.273528583035,35710,-23898.712356858956,47807.42471371791,47849.840783935695,47797.42471371791,35706,35711
win ~ x3fg + x3fga + ast + bkpg,49501.273528583035,35710,-23837.74661275485,47685.4932255097,47727.909295727484,47675.4932255097,35706,35711
win ~ x3fg + x3fga + ast + blks,49501.273528583035,35710,-23823.684293888233,47657.368587776466,47699.78465799425,47647.368587776466,35706,35711
win ~ x3fg + x3fga + bkpg + blks,49501.273528583035,35710,-23986.626906909438,47983.253813818876,48025.66988403666,47973.253813818876,35706,35711
win ~ x3fg + apg + ast + bkpg,49501.273528583035,35710,-23908.69064887883,47827.38129775766,47869.79736797544,47817.38129775765,35706,35711
win ~ x3fg + apg + ast + blks,49501.273528583035,35710,-23911.612548514255,47833.22509702851,47875.64116724629,47823.22509702851,35706,35711
win ~ x3fg + apg + bkpg + blks,49501.273528583035,35710,-23935.268535227584,47880.53707045517,47922.95314067295,47870.53707045517,35706,35711
win ~ x3fg + ast + bkpg + blks,49501.273528583035,35710,-23916.453406661232,47842.906813322465,47885.32288354025,47832.906813322465,35706,35711
win ~ x3fga + apg + ast + bkpg,49501.273528583035,35710,-23911.95476454592,47833.90952909184,47876.325599309625,47823.90952909184,35706,35711
win ~ x3fga + apg + ast + blks,49501.273528583035,35710,-23914.73228561824,47839.46457123648,47881.88064145426,47829.46457123648,35706,35711
win ~ x3fga + apg + bkpg + blks,49501.273528583035,35710,-23944.654042679664,47899.30808535933,47941.72415557711,47889.30808535933,35706,35711
win ~ x3fga + ast + bkpg + blks,49501.273528583035,35710,-23921.87805058955,47853.7561011791,47896.17217139688,47843.7561011791,35706,35711
win ~ apg + ast + bkpg + blks,49501.273528583035,35710,-23911.776468414464,47833.55293682893,47875.96900704671,47823.55293682893,35706,35711
win ~ x3fg + x3fga + apg + ast + bkpg,49501.273528583035,35710,-23807.026948985625,47626.05389797125,47676.953182232595,47614.05389797125,35705,35711
win ~ x3fg + x3fga + apg + ast + blks,49501.273528583035,35710,-23810.4888256791,47632.9776513582,47683.87693561954,47620.9776513582,35705,35711
win ~ x3fg + x3fga + apg + bkpg + blks,49501.273528583035,35710,-23835.9583150393,47683.9166300786,47734.815914339946,47671.9166300786,35705,35711
win ~ x3fg + x3fga + ast + bkpg + blks,49501.273528583035,35710,-23818.106767756348,47648.213535512696,47699.11281977404,47636.213535512696,35705,35711
win ~ x3fg + apg + ast + bkpg + blks,49501.273528583035,35710,-23905.07611705625,47822.1522341125,47873.051518373846,47810.1522341125,35705,35711
win ~ x3fga + apg + ast + bkpg + blks,49501.273528583035,35710,-23908.223411419607,47828.446822839214,47879.34610710056,47816.446822839214,35705,35711
win ~ x3fg + x3fga + apg + ast + bkpg + blks,49501.273528583035,35710,-23802.60088484339,47619.20176968678,47678.584267991675,47605.20176968678,35704,35711
